,X,Y,ID,SER,PERMIT,CR,DR,LOCATION,DATE,CD,TG,GD,MODEL,THEME,CITY,LAT,LON,TOOLTIP
0,-118.47779999993436,34.26449999984795,1001,WV111,,SE,EB,CHATSWORTH FS GAYNOR,1992-12-18T00:00:00.000Z,12,501.0,F3,A,AD SHELTERS,LOS ANGELES,34.2645,-118.4778,Type: AD SHELTERS\nLocation:  CHATSWORTH FS GAYNOR\nCouncil District:  12\nDate:  12/18/1992\nSerial: WV111\nPermit:  
1,-118.52149999995531,34.26479999986436,1002,WV180,,SE,EB,CHATSWORTH FS ZELZAH-island,1990-03-16T00:00:00.000Z,12,501.0,A3,A,AD SHELTERS,LOS ANGELES,34.2648,-118.5215,Type: AD SHELTERS\nLocation:  CHATSWORTH FS ZELZAH-island\nCouncil District:  12\nDate:  3/16/1990\nSerial: WV180\nPermit:  
2,-118.51469999984207,34.26479999986436,1003,WV041,,SW,EB,CHATSWORTH NS ENCINO,1982-11-17T00:00:00.000Z,12,501.0,B3,A,AD SHELTERS,LOS ANGELES,34.2648,-118.5147,Type: AD SHELTERS\nLocation:  CHATSWORTH NS ENCINO\nCouncil District:  12\nDate:  11/17/1982\nSerial: WV041\nPermit:  
3,-118.51790000010672,34.26479999986436,1004,WV058,,NE,WB,CHATSWORTH NS WHITE OAK,1983-03-18T00:00:00.000Z,12,501.0,A3,A,AD SHELTERS,LOS ANGELES,34.2648,-118.5179,Type: AD SHELTERS\nLocation:  CHATSWORTH NS WHITE OAK\nCouncil District:  12\nDate:  3/18/1983\nSerial: WV058\nPermit:  
4,-118.56050000003674,34.233399999976555,1005,WV355,,NE,NB,CORBIN FS NORDHOFF,2001-04-26T00:00:00.000Z,12,500.0,F7,D2MG,AD SHELTERS,LOS ANGELES,34.2334,-118.5605,Type: AD SHELTERS\nLocation:  CORBIN FS NORDHOFF\nCouncil District:  12\nDate:  4/26/2001\nSerial: WV355\nPermit:  
5,-118.56050000003674,34.23120000004454,1006,WV357,,SE,NB,CORBIN NS NORDHOFF,2001-04-26T00:00:00.000Z,12,500.0,F7,D2MG,AD SHELTERS,LOS ANGELES,34.2312,-118.5605,Type: AD SHELTERS\nLocation:  CORBIN NS NORDHOFF\nCouncil District:  12\nDate:  4/26/2001\nSerial: WV357\nPermit:  
6,-118.56180000014423,34.233399999976555,1007,WV356,,NW,SB,CORBIN NS NORDHOFF PLACE,2001-04-26T00:00:00.000Z,12,500.0,F7,D2MG,AD SHELTERS,LOS ANGELES,34.2334,-118.5618,Type: AD SHELTERS\nLocation:  CORBIN NS NORDHOFF PLACE\nCouncil District:  12\nDate:  4/26/2001\nSerial: WV356\nPermit:  
7,-118.5613000001029,34.23880000017193,1008,WV151,,SW,SB,CORBIN FS PRAIRIE,1988-11-10T00:00:00.000Z,12,500.0,F6,A,AD SHELTERS,LOS ANGELES,34.2388,-118.5613,Type: AD SHELTERS\nLocation:  CORBIN FS PRAIRIE\nCouncil District:  12\nDate:  11/10/1988\nSerial: WV151\nPermit:  
8,-118.58770000004056,34.24899999992085,1009,WV011,,SW,SB,DE SOTO FS LASSEN,1984-05-17T00:00:00.000Z,12,500.0,C5,A,AD SHELTERS,LOS ANGELES,34.249,-118.5877,Type: AD SHELTERS\nLocation:  DE SOTO FS LASSEN\nCouncil District:  12\nDate:  5/17/1984\nSerial: WV011\nPermit:  
9,-118.58760000003227,34.24259999991517,1010,WV013,,NE,NB,DE SOTO FS PLUMMER,1982-11-22T00:00:00.000Z,12,500.0,C6,B,AD SHELTERS,LOS ANGELES,34.2426,-118.5876,Type: AD SHELTERS\nLocation:  DE SOTO FS PLUMMER\nCouncil District:  12\nDate:  11/22/1982\nSerial: WV013\nPermit:  
