ID,APN,RegisteredDate,PropertyType,PropertyAddress,PropertyCity,PropertyState,PropertyZip,CouncilDistrict,Lender,LenderContact,LenderContactPhone,PropertyManagement,PropertyManagementContact,PropertyManagementAddress,PropertyMgmtContactPhone
id,APN,RegisteredDate,PropertyType,street,city,state,zip,CouncilDistrict,Lender,LenderContact,LenderContactPhone,PropertyManagement,PropertyManagementContact,PropertyManagementAddress,PropertyMgmtContactPhone
0,2403013010,03/18/2016,Single Family,"7936 N SANGAMON AVE
LOS ANGELES, CA 91352
(34.215635, -118.347815)",LOS ANGELES,CA,91352,2,Siamak Kohanoff,Siamak Kohanoff,818-986-2274,,,,
1,2124021015,01/14/2016,Single Family,"6245 N LINDLEY AVE
LOS ANGELES, CA 91335
(34.183063, -118.527306)",LOS ANGELES,CA,91335,3,Champion Mortgage,Jennifer Hathaway,972-894-2950,,,,
2,4365016012,05/12/2016,Single Family,"11363 W BERWICK ST
LOS ANGELES, CA 90049
(34.063397, -118.460319)",LOS ANGELES,CA,90049,11,Platinum Loan Servicing,Karen Larson,818-222-5222,,,,
3,2274024029,04/06/2016,Single Family,"3465 N COY DR
LOS ANGELES, CA 91423
",LOS ANGELES,CA,91423,4,Wells Fargo Bank N.A.,Jonathon Holt,877-617-5274,LPS,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408,281-404-7816
4,5094025058,06/24/2016,Single Family,"907 S NEW HAMPSHIRE AVE
LOS ANGELES, CA 90006
(34.055507, -118.29288)",LOS ANGELES,CA,90006,10,"PMA Finance of America Mortgage, LLC",MARTHA ANAYA,909-539-6746,,,,
5,5067020044,03/14/2016,Single Family,"5223 W WASHINGTON BLVD
LOS ANGELES, CA 90019
(34.041424, -118.354621)",LOS ANGELES,CA,90019,10,HSBC CONSUMER LENDING MORTGAGE SERVICES,Christina Berdecia,813-571-8620,SAFEGUARD,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097
6,5303007026,01/29/2016,Multi-Family,"4402 N BERENICE AVE
LOS ANGELES, CA 90031
(34.092759, -118.202273)",LOS ANGELES,CA,90031,1,Flagstar,Lori Richard,904-473-0504,Bron Inc,Eric Moore,41951   Remington AVE 150 Temecula CA 92590,951-970-3899
7,2628011011,01/19/2016,Single Family,"8923 N LEV AVE
LOS ANGELES, CA 91331
(34.231856, -118.413915)",LOS ANGELES,CA,91331,6,Nationstar Mortgage LLC,NSTAR CLIENT,469-549-2178,Safeguard Properties,Safeguard Properties,7887   Safeguard Cir  Valley View OH 44125,800-852-8306
8,2331011156,01/07/2016,Single Family,"6301 N COLDWATER CANYON AVE
LOS ANGELES, CA 91606
(34.185048, -118.413795)",LOS ANGELES,CA,91606,2,BVS LP-Barbra Petie-Pally Trust,brian ostrow,916-769-0664,,,,
9,5028011010,01/26/2016,Single Family,"4266 S DON JOSE DR
LOS ANGELES, CA 90008
(34.008386, -118.355064)",LOS ANGELES,CA,90008,8,Wells Fargo Bank N.A.,Jonathon Holt,877-617-5274,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,818-406-3611
10,2346021044,01/04/2016,Single Family,"5319 N GOODLAND AVE
LOS ANGELES, CA 91607
(34.167205, -118.41142)",LOS ANGELES,CA,91607,2,Solutionstar Field Services,Paula Acosta,888-456-0714,"AFAS c/o NEW BEGINNING PROPERTIES, INC",Chavez Lourdes,999   MARSHALL BLVD  SAN BERNARDINO CA 92405,909-289-1453
11,2107020070,05/06/2016,Single Family,"20250 W BLYTHE ST
LOS ANGELES, CA 91306
(34.214727, -118.574687)",LOS ANGELES,CA,91306,3,PHH Mortgage,Lawrence Riggs,856-917-2828,Bron Inc,Eric Moore,41951   Remington AVE 150 Temecula CA 92590,951-428-2250
12,6061008012,03/23/2016,Single Family,"716 W 108TH ST
LOS ANGELES, CA 90044
(33.938229, -118.287656)",LOS ANGELES,CA,90044,8,Selene Finance LP,Adan Roesner,951-428-2250,HEATHER RIGNEY,HEATHER RIGNEY,700  S FLOWER ST 2900 LOS ANGELES CA 90017,818-679-2335
13,5683022004,06/09/2016,Vacant Residential,"2456 W YOSEMITE DR
LOS ANGELES, CA 90041
(34.136801, -118.221566)",LOS ANGELES,CA,90041,14,Lynn Thai,Lynn Thai,714-584-9899,"CNA FORECLOSURE SERVICE, INC.",KIMBERLY K,2020   CAMINO DEL RIO  N  230 SAN DIEGO CA 92108,619-297-6740
14,5217017020,04/19/2016,Single Family,"5329 E ITHACA AVE
LOS ANGELES, CA 90032
(34.076318, -118.170494)",LOS ANGELES,CA,90032,14,"Trinity Financial Services, LLC",David Vo,855-734-0411,"Trinity Financial Services, LLC",Don Madden III,2618   San Miguel DR 303 Newport Beach CA 92660,855-818-6806
15,2639029002,06/30/2016,Single Family,"14225 W NORDHOFF ST
LOS ANGELES, CA 91402
(34.23537, -118.442896)",LOS ANGELES,CA,91402,6,Statebridge Company LLC,Frank Robbins,303-962-6753,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437
